"GeneSymbol"	"GeneID"	"# Interactors"
"LSM3"	"27258"	12.
"VENTX"	"27287"	316.
"DHDH"	"27294"	12.
"TP53TG5"	"27296"	5.
"CRCP"	"27297"	2.
"AMPH"	"273"	8.
"GCLM"	"2730"	3.
"P2RY10"	"27334"	8.
"RRP7A"	"27341"	6.
"RABGEF1"	"27342"	36.
"TOR1B"	"27348"	7.
"APOBEC3C"	"27350"	7.
"MAT2B"	"27430"	3.
"GLUL"	"2752"	5.
"GMFB"	"2764"	16.
"GNAI3"	"2773"	19.
"GNAS"	"2778"	8.
"GNB1"	"2782"	34.
"GNG10"	"2790"	11.
"GNL1"	"2794"	6.
"GNS"	"2799"	8.
"GOLGA2"	"2801"	11.
"GOT1"	"2805"	1.
"SFN"	"2810"	19.
"GPM6A"	"2823"	11.
"C10orf53"	"282966"	2.
"P4HA3"	"283208"	41.
"TTC9C"	"283237"	70.
"CXCR3"	"2833"	137.
"SPRYD4"	"283377"	3.
"GATC"	"283459"	5.
"GXYLT1"	"283464"	4.
"GPR12"	"2835"	37.
"BRICD5"	"283870"	30.
"INO80E"	"283899"	41.
"ZNF843"	"283933"	5.
"GPR17"	"2840"	108.
"MILR1"	"284021"	11.
"CAVIN1"	"284119"	101.
"ZADH2"	"284273"	8.
"IZUMO1"	"284359"	9.
"SIGLECL1"	"284369"	44.
"THEM5"	"284486"	8.
"RSPO1"	"284654"	9.
"SPATA46"	"284680"	11.
"NKIRAS2"	"28511"	8.
"DCAF4L1"	"285429"	16.
"RPL7L1"	"285855"	14.
"PAXX"	"286257"	4.
"P2RY8"	"286530"	53.
"GPS1"	"2873"	66.
"GPS2"	"2874"	12.
"GPX7"	"2882"	5.
"GRB2"	"2885"	52.
"CCDC22"	"28952"	26.
"LAMTOR2"	"28956"	11.
"OSTM1"	"28962"	22.
"BZW2"	"28969"	18.
"C11orf54"	"28970"	3.
"MRPS18B"	"28973"	10.
"MRPL42"	"28977"	48.
"IFT81"	"28981"	6.
"MCTS1"	"28985"	3.
"NOB1"	"28987"	8.
"DBNL"	"28988"	4.
"MRPL13"	"28998"	43.
"MRPL18"	"29074"	48.
"NDUFAF4"	"29078"	12.
"MED4"	"29079"	35.
"NR3C1"	"2908"	2.
"CCDC59"	"29080"	10.
"BABAM1"	"29086"	8.
"UBE2T"	"29089"	3.
"RANGRF"	"29098"	1.
"DNAJC15"	"29103"	4.
"NXT1"	"29107"	3.
"CLEC2D"	"29121"	19.
"CD274"	"29126"	5.
"CXCL1"	"2919"	7.
"SLC25A6"	"293"	3.
"GSTT1"	"2952"	7.
"GTF2A2"	"2958"	7.
"GTF2E2"	"2961"	4.
"ABT1"	"29777"	44.
"SENP1"	"29843"	2.
"TFPT"	"29844"	32.
"SNX11"	"29916"	4.
"GYPA"	"2993"	85.
"DSE"	"29940"	1.
"PURG"	"29942"	9.
"CERS2"	"29956"	9.
"NRBP1"	"29959"	10.
"MRM2"	"29960"	3.
"PSAT1"	"29968"	4.
"NRBF2"	"29982"	6.
"RHOD"	"29984"	7.
"GZMH"	"2999"	23.
"NOP53"	"29997"	9.
"NXPH1"	"30010"	6.
"SH3KBP1"	"30011"	76.
"H1-6"	"3010"	32.
"H1-1"	"3024"	58.
"HADHA"	"3030"	41.
"HADHB"	"3032"	25.
"HAL"	"3034"	9.
"HBB"	"3043"	6.
"HBQ1"	"3049"	2.
"HCCS"	"3052"	3.
"SERPIND1"	"3053"	3.
"HDAC1"	"3065"	75.
"HEXA"	"3073"	6.
"HFE"	"3077"	16.
"VSX1"	"30813"	18.
"CXXC1"	"30827"	8.
"NT5C"	"30833"	1.
"DNTTIP2"	"30836"	4.
"EHD2"	"30846"	4.
"CTAG2"	"30848"	8.
"TAX1BP3"	"30851"	30.
"HK1"	"3098"	17.
"ZBTB48"	"3104"	1.
"HLA-DRA"	"3122"	12.
"HLA-E"	"3133"	2.
"HLA-G"	"3135"	2.
"HMGB1"	"3146"	2.
"HMGB2"	"3148"	5.
"HMGCL"	"3155"	21.
"HMGA1"	"3159"	78.
"KLHL10"	"317719"	21.
"HNRNPA1"	"3178"	35.
"HNRNPH2"	"3188"	7.
